type_of_water_source,town_name,province_name,location_type,number_of_people_served,time_in_queue,results
well,Rural,Hawassa,Rural,270,0,Contaminated: Chemical
shared_tap,Rural,Hawassa,Rural,1602,139,
river,Mrembo,Kilimani,Urban,464,29,
well,Rural,Kilimani,Rural,312,0,Contaminated: Chemical
shared_tap,Rural,Akatsi,Rural,2768,29,
river,Rural,Kilimani,Rural,478,8,
tap_in_home,Rural,Kilimani,Rural,486,0,
tap_in_home_broken,Bello,Amanzi,Urban,466,0,
well,Rural,Hawassa,Rural,238,0,Contaminated: Chemical
tap_in_home,Harare,Kilimani,Urban,338,0,
well,Ilanga,Sokoto,Urban,200,0,Contaminated: Biological
tap_in_home,Ilanga,Sokoto,Urban,816,0,
river,Rural,Kilimani,Rural,988,11,
shared_tap,Abidjan,Amanzi,Urban,1362,121,
tap_in_home_broken,Amina,Amanzi,Urban,552,0,
well,Serowe,Hawassa,Urban,242,0,Clean
tap_in_home,Pwani,Amanzi,Urban,570,0,
well,Rural,Akatsi,Rural,270,0,Clean
shared_tap,Rural,Akatsi,Rural,1766,151,
well,Rural,Akatsi,Rural,350,0,Contaminated: Chemical
tap_in_home,Rural,Kilimani,Rural,538,0,
well,Majengo,Sokoto,Urban,218,0,Contaminated: Biological
well,Rural,Kilimani,Rural,354,0,Contaminated: Biological
well,Rural,Sokoto,Rural,164,0,Contaminated: Biological
well,Rural,Sokoto,Rural,166,0,Clean
tap_in_home,Rural,Amanzi,Rural,818,0,
shared_tap,Mrembo,Kilimani,Urban,3982,240,
tap_in_home_broken,Asmara,Amanzi,Urban,428,0,
tap_in_home_broken,Rural,Amanzi,Rural,862,0,
well,Harare,Akatsi,Urban,238,0,Clean
well,Rural,Akatsi,Rural,234,0,Contaminated: Chemical
well,Isiqalo,Kilimani,Urban,226,0,Contaminated: Biological
shared_tap,Rural,Akatsi,Rural,944,91,
well,Kintampo,Akatsi,Urban,320,0,Contaminated: Chemical
tap_in_home_broken,Rural,Sokoto,Rural,568,0,
well,Rural,Akatsi,Rural,348,0,Contaminated: Chemical
well,Marang,Sokoto,Urban,192,0,Contaminated: Chemical
tap_in_home,Rural,Amanzi,Rural,972,0,
well,Rural,Kilimani,Rural,244,0,Contaminated: Biological
well,Mrembo,Kilimani,Urban,302,0,Contaminated: Biological
tap_in_home_broken,Rural,Sokoto,Rural,578,0,
well,Rural,Kilimani,Rural,242,0,Contaminated: Biological
river,Rural,Sokoto,Rural,450,29,
shared_tap,Rural,Kilimani,Rural,2460,27,
tap_in_home_broken,Rural,Kilimani,Rural,948,0,
tap_in_home,Rural,Kilimani,Rural,990,0,
tap_in_home_broken,Lusaka,Akatsi,Urban,750,0,
well,Amina,Hawassa,Urban,386,0,Contaminated: Chemical
well,Rural,Kilimani,Rural,226,0,Contaminated: Chemical
well,Isiqalo,Kilimani,Urban,182,0,Contaminated: Biological
well,Rural,Akatsi,Rural,374,0,Clean
well,Rural,Akatsi,Rural,232,0,Contaminated: Chemical
shared_tap,Rural,Sokoto,Rural,2364,194,
well,Rural,Akatsi,Rural,362,0,Clean
well,Rural,Sokoto,Rural,338,0,Contaminated: Chemical
well,Rural,Akatsi,Rural,254,0,Contaminated: Chemical
well,Rural,Akatsi,Rural,176,0,Contaminated: Chemical
shared_tap,Rural,Akatsi,Rural,910,19,
shared_tap,Rural,Hawassa,Rural,3220,240,
tap_in_home,Rural,Hawassa,Rural,452,0,
river,Harare,Kilimani,Urban,424,22,
well,Majengo,Sokoto,Urban,238,0,Contaminated: Chemical
well,Rural,Kilimani,Rural,224,0,Contaminated: Chemical
well,Rural,Kilimani,Rural,210,0,Contaminated: Chemical
tap_in_home_broken,Rural,Sokoto,Rural,726,0,
well,Rural,Akatsi,Rural,164,0,Contaminated: Biological
tap_in_home_broken,Amina,Amanzi,Urban,670,0,
shared_tap,Rural,Akatsi,Rural,2716,219,
shared_tap,Rural,Sokoto,Rural,3978,240,
well,Rural,Amanzi,Rural,250,0,Clean
well,Rural,Kilimani,Rural,200,0,Contaminated: Chemical
tap_in_home,Rural,Akatsi,Rural,510,0,
tap_in_home,Ilanga,Sokoto,Urban,898,0,
well,Ilanga,Sokoto,Urban,374,0,Contaminated: Chemical
shared_tap,Zuri,Kilimani,Urban,3506,240,
tap_in_home,Ilanga,Sokoto,Urban,528,0,
tap_in_home_broken,Pwani,Amanzi,Urban,710,0,
well,Rural,Akatsi,Rural,196,0,Clean
well,Rural,Amanzi,Rural,200,0,Clean
well,Rural,Amanzi,Rural,172,0,Contaminated: Chemical
shared_tap,Rural,Akatsi,Rural,3498,30,
well,Rural,Sokoto,Rural,324,0,Contaminated: Chemical
well,Lusaka,Akatsi,Urban,228,0,Contaminated: Biological
shared_tap,Rural,Kilimani,Rural,2608,212,
tap_in_home,Rural,Akatsi,Rural,354,0,
shared_tap,Rural,Kilimani,Rural,698,73,
tap_in_home_broken,Rural,Hawassa,Rural,932,0,
tap_in_home,Dahabu,Amanzi,Urban,394,0,
well,Kofi,Sokoto,Urban,242,0,Contaminated: Chemical
tap_in_home,Rural,Kilimani,Rural,760,0,
shared_tap,Rural,Sokoto,Rural,3096,30,
shared_tap,Rural,Kilimani,Rural,1476,130,
well,Rural,Kilimani,Rural,274,0,Contaminated: Biological
tap_in_home,Rural,Hawassa,Rural,842,0,
tap_in_home_broken,Yaounde,Hawassa,Urban,540,0,
shared_tap,Rural,Akatsi,Rural,694,18,
tap_in_home_broken,Yaounde,Hawassa,Urban,742,0,
tap_in_home,Rural,Hawassa,Rural,892,0,
well,Rural,Kilimani,Rural,208,0,Clean
tap_in_home,Amina,Amanzi,Urban,344,0,
tap_in_home,Rural,Sokoto,Rural,748,0,
tap_in_home,Majengo,Sokoto,Urban,660,0,
well,Ilanga,Sokoto,Urban,210,0,Contaminated: Biological
shared_tap,Amina,Amanzi,Urban,644,69,
well,Rural,Akatsi,Rural,352,0,Clean
tap_in_home_broken,Rural,Amanzi,Rural,404,0,
well,Amara,Kilimani,Urban,216,0,Contaminated: Chemical
well,Rural,Hawassa,Rural,268,0,Contaminated: Biological
well,Rural,Kilimani,Rural,312,0,Clean
shared_tap,Rural,Hawassa,Rural,3086,30,
well,Rural,Hawassa,Rural,358,0,Contaminated: Chemical
tap_in_home,Asmara,Amanzi,Urban,918,0,
well,Rural,Kilimani,Rural,252,0,Contaminated: Chemical
tap_in_home,Rural,Kilimani,Rural,782,0,
shared_tap,Rural,Kilimani,Rural,1154,106,
river,Rural,Sokoto,Rural,738,8,
well,Harare,Akatsi,Urban,374,0,Contaminated: Biological
well,Deka,Hawassa,Urban,370,0,Contaminated: Biological
well,Rural,Sokoto,Rural,312,0,Contaminated: Chemical
well,Rural,Akatsi,Rural,302,0,Contaminated: Biological
well,Ilanga,Sokoto,Urban,268,0,Contaminated: Chemical
tap_in_home_broken,Harare,Akatsi,Urban,422,0,
well,Rural,Akatsi,Rural,342,0,Contaminated: Chemical
tap_in_home_broken,Amina,Amanzi,Urban,884,0,
well,Zuri,Kilimani,Urban,230,0,Contaminated: Biological
well,Rural,Kilimani,Rural,264,0,Contaminated: Chemical
well,Rural,Amanzi,Rural,180,0,Clean
well,Serowe,Hawassa,Urban,204,0,Clean
tap_in_home,Isiqalo,Kilimani,Urban,614,0,
well,Rural,Akatsi,Rural,222,0,Clean
well,Rural,Hawassa,Rural,352,0,Contaminated: Chemical
well,Rural,Hawassa,Rural,294,0,Contaminated: Biological
tap_in_home,Rural,Akatsi,Rural,908,0,
well,Rural,Kilimani,Rural,242,0,Contaminated: Chemical
tap_in_home_broken,Rural,Hawassa,Rural,586,0,
tap_in_home,Isiqalo,Kilimani,Urban,714,0,
well,Amara,Kilimani,Urban,322,0,Contaminated: Biological
tap_in_home_broken,Rural,Amanzi,Rural,314,0,
well,Rural,Amanzi,Rural,220,0,Clean
shared_tap,Rural,Kilimani,Rural,1560,136,
shared_tap,Dahabu,Amanzi,Urban,3460,240,
shared_tap,Rural,Amanzi,Rural,1860,24,
river,Rural,Sokoto,Rural,804,22,
well,Rural,Akatsi,Rural,274,0,Clean
tap_in_home_broken,Rural,Amanzi,Rural,654,0,
river,Rural,Sokoto,Rural,422,12,
river,Rural,Sokoto,Rural,450,23,
river,Rural,Sokoto,Rural,580,10,
shared_tap,Pwani,Amanzi,Urban,3044,30,
shared_tap,Rural,Amanzi,Rural,1936,24,
well,Rural,Akatsi,Rural,390,0,Contaminated: Chemical
well,Harare,Akatsi,Urban,316,0,Contaminated: Biological
tap_in_home_broken,Rural,Amanzi,Rural,710,0,
well,Rural,Kilimani,Rural,342,0,Contaminated: Chemical
tap_in_home,Rural,Hawassa,Rural,748,0,
tap_in_home,Bahari,Sokoto,Urban,370,0,
tap_in_home_broken,Kintampo,Akatsi,Urban,978,0,
river,Rural,Akatsi,Rural,750,6,
well,Rural,Kilimani,Rural,380,0,Contaminated: Biological
tap_in_home_broken,Rural,Amanzi,Rural,706,0,
shared_tap,Rural,Sokoto,Rural,2606,211,
shared_tap,Rural,Hawassa,Rural,2612,212,
well,Rural,Akatsi,Rural,282,0,Contaminated: Chemical
well,Rural,Kilimani,Rural,318,0,Contaminated: Biological
tap_in_home_broken,Harare,Akatsi,Urban,890,0,
tap_in_home_broken,Pwani,Amanzi,Urban,822,0,
well,Rural,Kilimani,Rural,256,0,Clean
tap_in_home_broken,Rural,Akatsi,Rural,444,0,
tap_in_home,Bahari,Sokoto,Urban,886,0,
well,Rural,Hawassa,Rural,342,0,Contaminated: Biological
shared_tap,Zuri,Kilimani,Urban,334,16,
river,Rural,Sokoto,Rural,928,10,
well,Majengo,Sokoto,Urban,348,0,Clean
tap_in_home,Rural,Amanzi,Rural,760,0,
tap_in_home,Harare,Akatsi,Urban,514,0,
tap_in_home_broken,Rural,Amanzi,Rural,418,0,
tap_in_home_broken,Kintampo,Akatsi,Urban,606,0,
well,Rural,Kilimani,Rural,198,0,Contaminated: Chemical
shared_tap,Rural,Sokoto,Rural,1144,20,
well,Rural,Sokoto,Rural,346,0,Clean
tap_in_home,Rural,Akatsi,Rural,426,0,
well,Rural,Akatsi,Rural,334,0,Clean
tap_in_home,Harare,Kilimani,Urban,624,0,
well,Lusaka,Akatsi,Urban,392,0,Clean
tap_in_home,Rural,Amanzi,Rural,510,0,
river,Cheche,Sokoto,Urban,810,5,
tap_in_home_broken,Rural,Hawassa,Rural,696,0,
river,Rural,Sokoto,Rural,632,20,
tap_in_home,Yaounde,Hawassa,Urban,502,0,
shared_tap,Rural,Kilimani,Rural,3798,240,
tap_in_home,Asmara,Amanzi,Urban,874,0,
tap_in_home,Rural,Amanzi,Rural,434,0,
tap_in_home,Rural,Sokoto,Rural,614,0,
shared_tap,Rural,Akatsi,Rural,2612,28,
well,Amara,Kilimani,Urban,204,0,Contaminated: Biological
well,Yaounde,Hawassa,Urban,244,0,Contaminated: Chemical
river,Rural,Sokoto,Rural,422,22,
tap_in_home,Pwani,Amanzi,Urban,672,0,
tap_in_home,Dahabu,Amanzi,Urban,366,0,
well,Rural,Akatsi,Rural,274,0,Contaminated: Chemical
well,Amina,Amanzi,Urban,384,0,Contaminated: Biological
shared_tap,Rural,Hawassa,Rural,3712,240,
river,Amara,Kilimani,Urban,476,27,
well,Kintampo,Akatsi,Urban,344,0,Contaminated: Chemical
river,Rural,Sokoto,Rural,904,10,
river,Rural,Kilimani,Rural,558,16,
tap_in_home_broken,Rural,Amanzi,Rural,934,0,
well,Mrembo,Kilimani,Urban,288,0,Contaminated: Chemical
well,Yaounde,Hawassa,Urban,280,0,Contaminated: Chemical
shared_tap,Rural,Akatsi,Rural,2212,26,
well,Rural,Akatsi,Rural,350,0,Clean
tap_in_home,Marang,Sokoto,Urban,384,0,
well,Rural,Akatsi,Rural,336,0,Contaminated: Chemical
well,Rural,Hawassa,Rural,240,0,Contaminated: Biological
well,Deka,Hawassa,Urban,250,0,Contaminated: Biological
shared_tap,Rural,Kilimani,Rural,3954,240,
shared_tap,Rural,Sokoto,Rural,3906,240,
tap_in_home_broken,Asmara,Amanzi,Urban,974,0,
well,Rural,Amanzi,Rural,242,0,Clean
well,Mrembo,Kilimani,Urban,170,0,Contaminated: Biological
river,Rural,Amanzi,Rural,922,10,
tap_in_home,Dahabu,Amanzi,Urban,578,0,
river,Ilanga,Sokoto,Urban,774,17,
well,Rural,Sokoto,Rural,268,0,Contaminated: Chemical
shared_tap,Zuri,Kilimani,Urban,210,38,
well,Kintampo,Akatsi,Urban,372,0,Contaminated: Biological
shared_tap,Pwani,Amanzi,Urban,1602,23,
well,Rural,Hawassa,Rural,186,0,Contaminated: Biological
tap_in_home_broken,Rural,Sokoto,Rural,630,0,
well,Rural,Akatsi,Rural,356,0,Contaminated: Chemical
well,Rural,Kilimani,Rural,214,0,Contaminated: Chemical
well,Deka,Hawassa,Urban,384,0,Contaminated: Biological
shared_tap,Asmara,Amanzi,Urban,3996,30,
well,Rural,Kilimani,Rural,198,0,Contaminated: Chemical
river,Mrembo,Kilimani,Urban,480,9,
well,Zuri,Kilimani,Urban,204,0,Contaminated: Chemical
shared_tap,Rural,Kilimani,Rural,1072,20,
shared_tap,Zuri,Kilimani,Urban,2630,28,
well,Rural,Sokoto,Rural,304,0,Contaminated: Biological
tap_in_home_broken,Harare,Akatsi,Urban,608,0,
well,Harare,Kilimani,Urban,274,0,Contaminated: Biological
well,Rural,Sokoto,Rural,232,0,Contaminated: Chemical
tap_in_home_broken,Asmara,Amanzi,Urban,770,0,
well,Rural,Akatsi,Rural,290,0,Clean
tap_in_home,Rural,Sokoto,Rural,436,0,
river,Rural,Sokoto,Rural,622,17,
well,Rural,Amanzi,Rural,352,0,Contaminated: Chemical
well,Zanzibar,Hawassa,Urban,376,0,Contaminated: Chemical
well,Rural,Hawassa,Rural,394,0,Contaminated: Biological
well,Rural,Amanzi,Rural,364,0,Clean
well,Rural,Akatsi,Rural,180,0,Contaminated: Chemical
tap_in_home_broken,Amina,Amanzi,Urban,876,0,
tap_in_home,Rural,Akatsi,Rural,754,0,
well,Rural,Akatsi,Rural,338,0,Clean
well,Harare,Kilimani,Urban,162,0,Clean
tap_in_home,Bello,Amanzi,Urban,716,0,
tap_in_home_broken,Rural,Amanzi,Rural,844,0,
tap_in_home_broken,Rural,Hawassa,Rural,908,0,
tap_in_home_broken,Rural,Hawassa,Rural,834,0,
well,Rural,Hawassa,Rural,206,0,Contaminated: Chemical
well,Rural,Kilimani,Rural,260,0,Contaminated: Chemical
tap_in_home_broken,Pwani,Amanzi,Urban,510,0,
tap_in_home,Amara,Kilimani,Urban,728,0,
river,Rural,Sokoto,Rural,468,22,
tap_in_home_broken,Asmara,Amanzi,Urban,968,0,
well,Rural,Hawassa,Rural,252,0,Contaminated: Biological
tap_in_home,Dahabu,Amanzi,Urban,338,0,
shared_tap,Asmara,Amanzi,Urban,2722,220,
tap_in_home,Lusaka,Akatsi,Urban,940,0,
well,Rural,Hawassa,Rural,232,0,Contaminated: Biological
well,Rural,Kilimani,Rural,302,0,Contaminated: Biological
tap_in_home,Rural,Kilimani,Rural,376,0,
well,Isiqalo,Kilimani,Urban,228,0,Contaminated: Chemical
well,Rural,Sokoto,Rural,206,0,Clean
river,Rural,Sokoto,Rural,984,26,
shared_tap,Rural,Akatsi,Rural,2456,201,
well,Rural,Sokoto,Rural,262,0,Contaminated: Chemical
well,Djenne,Hawassa,Urban,346,0,Contaminated: Biological
well,Rural,Akatsi,Rural,356,0,Clean
well,Bello,Amanzi,Urban,240,0,Contaminated: Chemical
tap_in_home_broken,Majengo,Sokoto,Urban,606,0,
tap_in_home_broken,Rural,Amanzi,Rural,962,0,
tap_in_home_broken,Bello,Amanzi,Urban,302,0,
river,Rural,Kilimani,Rural,480,20,
well,Rural,Hawassa,Rural,392,0,Contaminated: Chemical
shared_tap,Rural,Kilimani,Rural,1854,157,
well,Rural,Akatsi,Rural,220,0,Contaminated: Chemical
river,Ilanga,Sokoto,Urban,794,11,
well,Rural,Hawassa,Rural,266,0,Contaminated: Chemical
shared_tap,Amara,Kilimani,Urban,3326,240,
well,Rural,Akatsi,Rural,288,0,Contaminated: Chemical
tap_in_home_broken,Rural,Akatsi,Rural,678,0,
shared_tap,Rural,Hawassa,Rural,1652,23,
well,Lusaka,Akatsi,Urban,390,0,Contaminated: Biological
river,Rural,Akatsi,Rural,852,17,
river,Rural,Hawassa,Rural,768,10,
well,Rural,Kilimani,Rural,162,0,Clean
tap_in_home,Rural,Amanzi,Rural,968,0,
well,Rural,Hawassa,Rural,208,0,Contaminated: Chemical
shared_tap,Rural,Akatsi,Rural,1608,23,
well,Rural,Amanzi,Rural,398,0,Contaminated: Chemical
shared_tap,Rural,Kilimani,Rural,3046,30,
tap_in_home_broken,Pwani,Amanzi,Urban,540,0,
well,Zuri,Kilimani,Urban,392,0,Clean
shared_tap,Zuri,Kilimani,Urban,3930,30,
tap_in_home_broken,Rural,Kilimani,Rural,990,0,
tap_in_home,Dahabu,Amanzi,Urban,302,0,
well,Rural,Amanzi,Rural,320,0,Contaminated: Chemical
shared_tap,Yaounde,Hawassa,Urban,1072,20,
tap_in_home,Dahabu,Amanzi,Urban,852,0,
well,Isiqalo,Kilimani,Urban,284,0,Contaminated: Biological
well,Rural,Hawassa,Rural,228,0,Contaminated: Biological
well,Rural,Sokoto,Rural,352,0,Contaminated: Biological
shared_tap,Rural,Sokoto,Rural,3984,30,
shared_tap,Rural,Kilimani,Rural,744,77,
well,Rural,Hawassa,Rural,240,0,Contaminated: Biological
tap_in_home,Rural,Hawassa,Rural,428,0,
tap_in_home_broken,Bahari,Sokoto,Urban,716,0,
tap_in_home_broken,Deka,Hawassa,Urban,644,0,
shared_tap,Pwani,Amanzi,Urban,1540,134,
well,Rural,Akatsi,Rural,168,0,Clean
well,Kintampo,Akatsi,Urban,326,0,Clean
well,Ilanga,Sokoto,Urban,272,0,Clean
tap_in_home_broken,Rural,Amanzi,Rural,826,0,
well,Rural,Akatsi,Rural,390,0,Contaminated: Chemical
well,Rural,Akatsi,Rural,372,0,Contaminated: Chemical
tap_in_home,Harare,Akatsi,Urban,736,0,
well,Rural,Akatsi,Rural,320,0,Clean
well,Mrembo,Kilimani,Urban,228,0,Contaminated: Biological
river,Rural,Sokoto,Rural,902,13,
tap_in_home,Rural,Kilimani,Rural,884,0,
well,Lusaka,Akatsi,Urban,372,0,Contaminated: Biological
tap_in_home,Dahabu,Amanzi,Urban,726,0,
tap_in_home_broken,Asmara,Amanzi,Urban,710,0,
well,Harare,Kilimani,Urban,304,0,Contaminated: Biological
well,Rural,Kilimani,Rural,234,0,Clean
well,Dahabu,Amanzi,Urban,296,0,Clean
well,Rural,Kilimani,Rural,398,0,Clean
well,Harare,Akatsi,Urban,308,0,Clean
well,Rural,Kilimani,Rural,352,0,Contaminated: Chemical
tap_in_home,Rural,Sokoto,Rural,442,0,
shared_tap,Rural,Akatsi,Rural,2838,228,
tap_in_home,Rural,Akatsi,Rural,766,0,
tap_in_home,Rural,Amanzi,Rural,972,0,
well,Kintampo,Akatsi,Urban,312,0,Contaminated: Biological
shared_tap,Rural,Kilimani,Rural,3980,30,
well,Deka,Hawassa,Urban,204,0,Contaminated: Biological
well,Harare,Akatsi,Urban,298,0,Contaminated: Biological
tap_in_home_broken,Yaounde,Hawassa,Urban,304,0,
shared_tap,Zuri,Kilimani,Urban,3032,240,
tap_in_home,Rural,Amanzi,Rural,978,0,
river,Rural,Kilimani,Rural,926,28,
shared_tap,Rural,Akatsi,Rural,204,16,
well,Rural,Kilimani,Rural,206,0,Contaminated: Chemical
tap_in_home_broken,Rural,Amanzi,Rural,346,0,
tap_in_home_broken,Rural,Hawassa,Rural,894,0,
tap_in_home_broken,Mrembo,Kilimani,Urban,892,0,
well,Amara,Kilimani,Urban,308,0,Clean
tap_in_home_broken,Mrembo,Kilimani,Urban,880,0,
well,Rural,Akatsi,Rural,296,0,Contaminated: Biological
well,Rural,Kilimani,Rural,268,0,Contaminated: Biological
well,Harare,Kilimani,Urban,206,0,Contaminated: Chemical
tap_in_home,Dahabu,Amanzi,Urban,798,0,
shared_tap,Rural,Hawassa,Rural,3010,30,
tap_in_home,Ilanga,Sokoto,Urban,590,0,
well,Rural,Akatsi,Rural,306,0,Contaminated: Biological
tap_in_home,Dahabu,Amanzi,Urban,738,0,
river,Kofi,Sokoto,Urban,716,11,
tap_in_home,Rural,Kilimani,Rural,982,0,
tap_in_home,Cheche,Sokoto,Urban,738,0,
well,Rural,Akatsi,Rural,170,0,Clean
tap_in_home,Rural,Amanzi,Rural,496,0,
shared_tap,Rural,Sokoto,Rural,200,37,
shared_tap,Bello,Amanzi,Urban,2472,27,
well,Rural,Akatsi,Rural,386,0,Contaminated: Chemical
shared_tap,Rural,Sokoto,Rural,3976,30,
tap_in_home_broken,Rural,Akatsi,Rural,440,0,
shared_tap,Rural,Kilimani,Rural,998,20,
shared_tap,Marang,Sokoto,Urban,3604,240,
well,Lusaka,Akatsi,Urban,190,0,Contaminated: Chemical
shared_tap,Rural,Sokoto,Rural,3652,30,
tap_in_home,Cheche,Sokoto,Urban,546,0,
well,Amara,Kilimani,Urban,288,0,Clean
river,Rural,Sokoto,Rural,938,17,
well,Mrembo,Kilimani,Urban,238,0,Contaminated: Biological
tap_in_home,Rural,Kilimani,Rural,618,0,
tap_in_home_broken,Rural,Amanzi,Rural,840,0,
tap_in_home_broken,Asmara,Amanzi,Urban,494,0,
well,Lusaka,Akatsi,Urban,328,0,Contaminated: Biological
well,Isiqalo,Kilimani,Urban,288,0,Clean
tap_in_home,Rural,Sokoto,Rural,938,0,
tap_in_home_broken,Rural,Amanzi,Rural,834,0,
well,Rural,Sokoto,Rural,208,0,Contaminated: Chemical
shared_tap,Rural,Sokoto,Rural,1018,96,
well,Rural,Sokoto,Rural,384,0,Contaminated: Biological
tap_in_home_broken,Lusaka,Akatsi,Urban,830,0,
tap_in_home,Kofi,Sokoto,Urban,752,0,
well,Rural,Kilimani,Rural,248,0,Contaminated: Biological
tap_in_home,Rural,Akatsi,Rural,760,0,
shared_tap,Rural,Akatsi,Rural,2290,26,
shared_tap,Rural,Akatsi,Rural,1558,136,
well,Lusaka,Akatsi,Urban,232,0,Clean
well,Serowe,Hawassa,Urban,254,0,Clean
river,Rural,Sokoto,Rural,502,18,
tap_in_home_broken,Lusaka,Akatsi,Urban,890,0,
well,Rural,Akatsi,Rural,286,0,Contaminated: Biological
well,Marang,Sokoto,Urban,366,0,Contaminated: Chemical
well,Rural,Amanzi,Rural,334,0,Clean
well,Zanzibar,Hawassa,Urban,324,0,Contaminated: Biological
tap_in_home,Pwani,Amanzi,Urban,906,0,
well,Rural,Akatsi,Rural,330,0,Contaminated: Biological
well,Rural,Akatsi,Rural,250,0,Clean
well,Rural,Hawassa,Rural,334,0,Contaminated: Biological
well,Deka,Hawassa,Urban,356,0,Contaminated: Biological
tap_in_home_broken,Asmara,Amanzi,Urban,300,0,
well,Kofi,Sokoto,Urban,176,0,Contaminated: Chemical
tap_in_home,Rural,Sokoto,Rural,680,0,
tap_in_home_broken,Rural,Kilimani,Rural,570,0,
tap_in_home_broken,Ilanga,Sokoto,Urban,826,0,
river,Rural,Akatsi,Rural,628,13,
shared_tap,Bello,Amanzi,Urban,542,17,
well,Zanzibar,Hawassa,Urban,190,0,Contaminated: Biological
tap_in_home,Pwani,Amanzi,Urban,502,0,
well,Rural,Kilimani,Rural,340,0,Contaminated: Chemical
well,Mrembo,Kilimani,Urban,188,0,Contaminated: Chemical
well,Djenne,Hawassa,Urban,366,0,Contaminated: Chemical
tap_in_home_broken,Rural,Amanzi,Rural,774,0,
well,Isiqalo,Kilimani,Urban,260,0,Clean
tap_in_home,Kintampo,Akatsi,Urban,534,0,
well,Rural,Kilimani,Rural,166,0,Contaminated: Chemical
well,Isiqalo,Kilimani,Urban,200,0,Contaminated: Biological
shared_tap,Rural,Akatsi,Rural,1226,112,
tap_in_home,Harare,Akatsi,Urban,956,0,
river,Rural,Kilimani,Rural,740,5,
tap_in_home,Rural,Sokoto,Rural,442,0,
well,Rural,Hawassa,Rural,230,0,Contaminated: Biological
well,Rural,Hawassa,Rural,282,0,Contaminated: Biological
well,Rural,Akatsi,Rural,320,0,Clean
river,Cheche,Sokoto,Urban,520,11,
well,Rural,Akatsi,Rural,386,0,Contaminated: Chemical
well,Rural,Kilimani,Rural,288,0,Clean
river,Rural,Hawassa,Rural,470,13,
well,Rural,Akatsi,Rural,322,0,Contaminated: Chemical
river,Rural,Akatsi,Rural,590,25,
shared_tap,Rural,Akatsi,Rural,978,20,
shared_tap,Rural,Sokoto,Rural,310,16,
well,Rural,Akatsi,Rural,222,0,Clean
river,Rural,Sokoto,Rural,780,5,
tap_in_home_broken,Amina,Amanzi,Urban,792,0,
shared_tap,Rural,Kilimani,Rural,3134,30,
river,Rural,Kilimani,Rural,516,17,
tap_in_home,Rural,Hawassa,Rural,524,0,
tap_in_home,Rural,Sokoto,Rural,818,0,
well,Rural,Hawassa,Rural,302,0,Contaminated: Chemical
well,Rural,Kilimani,Rural,232,0,Contaminated: Chemical
tap_in_home,Rural,Akatsi,Rural,798,0,
tap_in_home,Dahabu,Amanzi,Urban,458,0,
river,Rural,Kilimani,Rural,584,16,
well,Abidjan,Amanzi,Urban,294,0,Clean
well,Kintampo,Akatsi,Urban,232,0,Contaminated: Biological
well,Rural,Hawassa,Rural,220,0,Clean
shared_tap,Rural,Sokoto,Rural,1240,113,
well,Rural,Hawassa,Rural,214,0,Contaminated: Chemical
tap_in_home,Cheche,Sokoto,Urban,830,0,
river,Rural,Sokoto,Rural,830,15,
well,Amina,Hawassa,Urban,208,0,Clean
well,Zanzibar,Hawassa,Urban,224,0,Contaminated: Biological
well,Rural,Akatsi,Rural,280,0,Contaminated: Chemical
well,Djenne,Hawassa,Urban,322,0,Contaminated: Chemical
well,Rural,Sokoto,Rural,252,0,Contaminated: Chemical
shared_tap,Rural,Akatsi,Rural,3250,240,
well,Rural,Akatsi,Rural,348,0,Clean
river,Ilanga,Sokoto,Urban,692,10,
well,Ilanga,Sokoto,Urban,328,0,Contaminated: Chemical
well,Amina,Hawassa,Urban,166,0,Contaminated: Chemical
tap_in_home_broken,Rural,Akatsi,Rural,590,0,
tap_in_home,Rural,Akatsi,Rural,940,0,
well,Rural,Akatsi,Rural,196,0,Clean
well,Mrembo,Kilimani,Urban,338,0,Clean
shared_tap,Rural,Kilimani,Rural,1732,148,
tap_in_home,Rural,Sokoto,Rural,368,0,
tap_in_home,Amara,Kilimani,Urban,790,0,
well,Rural,Kilimani,Rural,162,0,Clean
tap_in_home,Rural,Sokoto,Rural,794,0,
well,Rural,Akatsi,Rural,378,0,Contaminated: Biological
well,Rural,Akatsi,Rural,246,0,Clean
shared_tap,Rural,Sokoto,Rural,1348,120,
river,Rural,Sokoto,Rural,498,5,
tap_in_home,Harare,Akatsi,Urban,618,0,
well,Rural,Hawassa,Rural,322,0,Contaminated: Biological
well,Rural,Kilimani,Rural,178,0,Contaminated: Chemical
well,Rural,Kilimani,Rural,282,0,Contaminated: Biological
well,Isiqalo,Kilimani,Urban,278,0,Contaminated: Biological
tap_in_home,Ilanga,Sokoto,Urban,340,0,
well,Rural,Akatsi,Rural,188,0,Contaminated: Biological
tap_in_home_broken,Isiqalo,Kilimani,Urban,758,0,
shared_tap,Rural,Kilimani,Rural,958,19,
tap_in_home,Kintampo,Akatsi,Urban,354,0,
well,Harare,Kilimani,Urban,392,0,Clean
tap_in_home,Rural,Amanzi,Rural,330,0,
well,Rural,Kilimani,Rural,334,0,Contaminated: Chemical
river,Kofi,Sokoto,Urban,400,25,
tap_in_home_broken,Pwani,Amanzi,Urban,726,0,
shared_tap,Zuri,Kilimani,Urban,2052,171,
well,Rural,Akatsi,Rural,186,0,Contaminated: Chemical
